Customer,Work_Address
CUST-24,Chemistry Lab
CUST-25,CR 52
CUST-26,CR 53
CUST-27,Library
CUST-28,Admin Office
CUST-29,CR 54
CUST-30,Seminar Hall
CUST-31,CR 55
CUST-32,5th floor bathroom
CUST-33,Library
CUST-34,Physics Lab
CUST-35,Gymnasium
CUST-36,Parking Lot
CUST-37,Canteen
CUST-38,Gymnasium
CUST-39,Lab 1
CUST-40,Gymnasium
CUST-41,Lab 2
CUST-42,Library
CUST-43,Physics Lab
CUST-44,Chemistry Lab
CUST-45,5th floor corridor
CUST-46,Admin Office
CUST-47,Parking Lot
CUST-48,Lab 2
CUST-49,Chemistry Lab
CUST-50,Library
CUST-51,Lab 3
CUST-52,Admin Office
CUST-53,Gymnasium
CUST-54,Lab 4
CUST-55,Roof
CUST-56,Admin Ofiice
CUST-57,CR 52
CUST-58,CR 53
